value,label,deprecated_at,state,state_code,county_code,short_name,dma_county_rank,dma_region,dma_territory
01001,Autauga,,AL,01,001,AUTAUGA,2,698,southeast
01003,Baldwin,,AL,01,003,BALDWIN,3,686,southeast
01005,Barbour,,AL,01,005,BARBOUR,4,522,southeast
01007,Bibb,,AL,01,007,BIBB,2,630,southeast
01009,Blount,,AL,01,009,BLOUNT,2,630,southeast
01011,Bullock,,AL,01,011,BULLOCK,4,698,southeast
01013,Butler,,AL,01,013,BUTLER,4,698,southeast
01015,Calhoun,,AL,01,015,CALHOUN,3,630,southeast
01017,Chambers,,AL,01,017,CHAMBERS,4,522,southeast
01019,Cherokee,,AL,01,019,CHEROKEE,4,630,southeast
01021,Chilton,,AL,01,021,CHILTON,2,630,southeast
01023,Choctaw,,AL,01,023,CHOCTAW,4,711,southeast
01025,Clarke,,AL,01,025,CLARKE,4,686,southeast
01027,Clay,,AL,01,027,CLAY,4,630,southeast
01029,Cleburne,,AL,01,029,CLEBURNE,4,524,southeast
01031,Coffee,,AL,01,031,COFFEE,3,606,southeast
01033,Colbert,,AL,01,033,COLBERT,3,691,southeast
01035,Conecuh,,AL,01,035,CONECUH,4,686,southeast
01037,Coosa,,AL,01,037,COOSA,4,630,southeast
01039,Covington,,AL,01,039,COVINGTON,4,698,southeast
01041,Crenshaw,,AL,01,041,CRENSHAW,4,698,southeast
01043,Cullman,,AL,01,043,CULLMAN,4,630,southeast
01045,Dale,,AL,01,045,DALE,3,606,southeast
01047,Dallas,,AL,01,047,DALLAS,4,698,southeast
01049,De Kalb,,AL,01,049,DE KALB,4,691,southeast
01051,Elmore,,AL,01,051,ELMORE,2,698,southeast
01053,Escambia,,AL,01,053,ESCAMBIA,4,686,southeast
01055,Etowah,,AL,01,055,ETOWAH,3,630,southeast
01057,Fayette,,AL,01,057,FAYETTE,4,630,southeast
01059,Franklin,,AL,01,059,FRANKLIN,4,691,southeast
01061,Geneva,,AL,01,061,GENEVA,3,606,southeast
01063,Greene,,AL,01,063,GREENE,3,630,southeast
01065,Hale,,AL,01,065,HALE,3,630,southeast
01067,Henry,,AL,01,067,HENRY,3,606,southeast
01069,Houston,,AL,01,069,HOUSTON,3,606,southeast
01071,Jackson,,AL,01,071,JACKSON,4,691,southeast
01073,Jefferson,,AL,01,073,JEFFERSON,2,630,southeast
01075,Lamar,,AL,01,075,LAMAR,4,673,southeast
01077,Lauderdale,,AL,01,077,LAUDERDALE,3,691,southeast
01079,Lawrence,,AL,01,079,LAWRENCE,3,691,southeast
01081,Lee,,AL,01,081,LEE,3,522,southeast
01083,Limestone,,AL,01,083,LIMESTONE,2,691,southeast
01085,Lowndes,,AL,01,085,LOWNDES,2,698,southeast
01087,Macon,,AL,01,087,MACON,4,698,southeast
01089,Madison,,AL,01,089,MADISON,2,691,southeast
01091,Marengo,,AL,01,091,MARENGO,4,698,southeast
01093,Marion,,AL,01,093,MARION,4,630,southeast
01095,Marshall,,AL,01,095,MARSHALL,4,691,southeast
