code	label
Y1A7A4	Whitehorse, YT
Y1A7A3	Whitehorse, YT
Y1A7A2	Whitehorse, YT
Y1A7A1	Whitehorse, YT
Y1A6W1	Whitehorse, YT
Y1A6V9	Whitehorse, YT
Y1A6V8	Whitehorse, YT
Y1A6V7	Whitehorse, YT
Y1A6V6	Whitehorse, YT
Y1A6V5	Whitehorse, YT
Y1A6V4	Whitehorse, YT
Y1A6V3	Whitehorse, YT
Y1A6V1	Whitehorse, YT
Y1A6T9	Whitehorse, YT
Y1A6T8	Whitehorse, YT
Y1A6T6	Whitehorse, YT
Y1A6T5	Whitehorse, YT
Y1A6T4	Whitehorse, YT
Y1A6T2	Whitehorse, YT
Y1A6S9	Whitehorse, YT
Y1A6S8	Whitehorse, YT
Y1A6S7	Whitehorse, YT
Y1A6S4	Whitehorse, YT
Y1A6S3	Whitehorse, YT
Y1A6S2	Whitehorse, YT
Y1A6S1	Whitehorse, YT
Y1A6R9	Whitehorse, YT
Y1A6R8	Whitehorse, YT
Y1A6R7	Whitehorse, YT
Y1A6R6	Whitehorse, YT
Y1A6R5	Whitehorse, YT
Y1A6R4	Whitehorse, YT
Y1A6R2	Whitehorse, YT
Y1A6R1	Whitehorse, YT
Y0B1Y2	Marsh Lake, YT
Y0B1Y1	Marsh Lake, YT
Y0B1Y0	Marsh Lake, YT
Y0B1V0	Burwash Landing, YT
Y0B1T0	Tagish, YT
Y0B1S0	Ross River, YT
Y0B1P0	Pelly Crossing, YT
Y0B1N0	Old Crow, YT
Y0B1M1	Mayo, YT
Y0B1M0	Mayo, YT
Y0B1L1	Haines Junction, YT
Y0B1L0	Haines Junction, YT
Y0B1K0	Faro, YT
Y0B1J0	Elsa, YT
Y0B1H0	Destruction Bay, YT
Y0B1G0	Dawson, YT
Y0B1C0	Carmacks, YT
Y0B1B0	Carcross, YT
Y0B1A0	Beaver Creek, YT
Y0A1C0	Watson Lake, YT
Y0A1B0	Teslin, YT
Y0A0A2	Watson Lake, YT
Y0A0A1	Teslin, YT
X1A3Z6	Yellowknife, NT
X1A3Z5	Yellowknife, NT
X1A3Z4	Yellowknife, NT
X1A3Z3	Yellowknife, NT
X1A3Z2	Yellowknife, NT
X1A3Z1	Yellowknife, NT
X1A2Z4	Yellowknife, NT
X1A2Z3	Yellowknife, NT
X1A2Z2	Yellowknife, NT
X1A2Z1	Yellowknife, NT
X1A1Z9	Yellowknife, NT
X1A1Z8	Yellowknife, NT
X1A1Z7	Yellowknife, NT
X1A1Z6	Yellowknife, NT
X1A1Z5	Yellowknife, NT
X1A1Z4	Yellowknife, NT
X1A1Z3	Yellowknife, NT
X1A1Z2	Yellowknife, NT
X1A1Z1	Yellowknife, NT
